StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q21,Q56_1,Q56_2,Q24,Q76,Q87,Q33,Q89,Q88,Q39,Q91,Q90,Q72,Q93,Q92,Q40,Q95,Q94,Q34,Q97,Q96,Q45,Q99,Q98,Q35,Q101,Q100,Q41,Q103,Q102,Q70,Q105,Q104,Q42,Q107,Q106,Q36,Q109,Q108,Q73,Q111,Q110,Q37,Q113,Q112,Q43,Q115,Q114,Q38,Q117,Q116,Q44,Q118
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Rutgers Laboratory for Developmental Language Studies

Acquisition, Development, and Representation of Linguistic Knowledge

 


INFORMED CONSENT FORM





















You are invited to
participate in a research study that is being conducted by Dr. Kristen Syrett, an
Associate Professor in the Department of Linguistics and the Center for
Cognitive Science at Rutgers University – New Brunswick. The purpose of this
research is to investigate what children and adults understand about aspects of
meaning in their native language and how this knowledge is acquired.

 

In this study, we will ask
you to read some words or sentences, or look at some images or videos. You will
be asked to provide your judgment about these materials, make a selection given
certain instructions, or follow the experimenter’s directions to perform some
action with the materials. Your reaction time may be monitored. You may provide
your consent to be audio and/or video-recorded. Over the course of this
particular study, approximately 20 to 100 participants will participate. The
study lasts between 20 and 45 minutes. 

 

You will receive course
credit (extra credit or points towards the fulfillment of your experimental
requirement) for your participation in this study, according to the guidelines
of the subject pool and/or your instructor. If you choose not to participate,
you will be offered other opportunities to earn experimental course credit
and/or extra credit in your course, such as video viewing or a short report.
These guidelines will be provided by your instructor and may be listed on your
course syllabus. 

There are no foreseeable
risks to participation in this study. You may choose not to participate, and
you may withdraw at any time during the study procedures without any penalty to
you. In addition, you may choose not to answer any questions with which you are
not entirely comfortable.

 

This research is
confidential. Confidential means that
we will collect information from you, including your gender, age, race and
ethnicity, other expertise, and possibly your IP address, which will remain on
file. This information will not be used to identify you in any way, and your IP
address will not be used for any purposes other than to ensure that you do not
participate in the same study twice. We use this information to understand more
about our findings and the factors involved in language development and
comprehension. Responses and demographic information are collected for all
participants and analyzed to report trends across participants. This
information will be stored in such a manner that some link between your
identity and responses in the research will exist. You will be assigned an
arbitrary code that will be associated with your data. Should an individual
response be used as example, personal identifying information will be removed
beforehand. Please note that we will keep this information confidential by
limiting access to the research data and keeping it in a secure location in our
lab. All electronic files are password-protected. 

 

Our research team and the Institutional Review Board
at Rutgers University are the only parties that will be allowed to see the
data, except as may be required by law. If a report of this study is published,
or the results are presented at a professional conference, no results that can
be linked to an individual will be presented. All study data will be kept for
the duration of the study and its publication for a finite period of time
between three and ten years. 

If you have any questions about the study procedures, you may contact Dr. Syrett at: 

Rutgers Center for Cognitive Science (RuCCS)

152 Frelinghuysen Road, Psychology Building Addition

Piscataway, NJ 08854

(848) 445-1600 

kristen.syrett@rutgers.edu 

 

If you have any questions about your rights as a research subject, 
you may contact the Sponsored Programs Administrator at Rutgers 
University at:

Institutional Review Board , Rutgers University, the State University of New Jersey

Liberty Plaza / Suite 3200

335 George Street, 3rd Floor

New Brunswick, NJ 08901

Phone: 732-235-9806 

humansubjects@orsp.rutgers.edu

 

You may print a copy of this consent form for your records.

 

 

This informed consent form was approved by the Rutgers University 
Institutional Review Board for the Protection of Human Subjects on 
3/8/2019; approval of this form expires on 3/7/2020.


 


 

Please indicate below if you agree to participate in this research study:",Please fill out the following fields. - Sona ID,Please fill out the following fields. - Native Language,practice_na_lamp_na,practice_na_whales_na,filler_na_president_na,test-high-oyster-where,filler-na-gameshow-na,filler-na-dj-na,test-low-museums-where,filler-na-band-na,filler-na-health-na,control-high-bank-who,filler-na-obama-na,filler-na-design-na,test-low-food-where,filler-na-plants-na,filler-na-cashew-na,test-high-fire-where,filler-na-mechanic-na,filler-na-event-na,control-low-centralpark-how,filler-na-tshirt-na,filler-na-olympics-na,test-high-protest-where,filler-na-chili-na,filler-na-weather-na,test-low-coffee-where,filler-na-dentist-na,filler-na-math-na,control-high-gas-how,filler-na-garage-na,filler-na-counting-na,test-low-yoga-where,filler-na-game-na,filler-na-newcar-na,test-high-terrorism-where,filler-na-halloween-na,filler-na-chocolate-na,control-low-party-who,filler-na-harrypotter-na,filler-na-birthday-na,test-high-envelopes-where,filler-na-tsa-na,filler-na-exams-na,test-low-wood-where,filler-na-plumbing-na,filler-na-disney-na,test-high-rabies-where,filler-na-phone-na,filler-na-cake-na,test-low-cycling-where,filler-na-potluck-na
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID21""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID119_2""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID87_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID89_TEXT""}","{""ImportId"":""QID88_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID91_TEXT""}","{""ImportId"":""QID90_TEXT""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID93_TEXT""}","{""ImportId"":""QID92_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""QID94_TEXT""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID97_TEXT""}","{""ImportId"":""QID96_TEXT""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID99_TEXT""}","{""ImportId"":""QID98_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID101_TEXT""}","{""ImportId"":""QID100_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID105_TEXT""}","{""ImportId"":""QID104_TEXT""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID107_TEXT""}","{""ImportId"":""QID106_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID109_TEXT""}","{""ImportId"":""QID108_TEXT""}","{""ImportId"":""QID73_TEXT""}","{""ImportId"":""QID111_TEXT""}","{""ImportId"":""QID110_TEXT""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID113_TEXT""}","{""ImportId"":""QID112_TEXT""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID115_TEXT""}","{""ImportId"":""QID114_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID117_TEXT""}","{""ImportId"":""QID116_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID118_TEXT""}"
2019-11-17 06:44:56,2019-11-17 07:51:41,Survey Preview,,100,4004,True,2019-11-17 07:51:41,R_2fppCG16NIyoUwg,,,,,40.43060302734375,-74.40200042724609375,preview,EN,I DO agree to participate in this research study and will CONTINUE to the next page.,,,,,,asdfsadf,,,asdfasdf,,,qwerqwer,,,asdfasd,,,qerqwer,,,asdfasd,,,qerqwer,,,asdfasdf,,,qwerqwer,,,asdfasdf,,,adsfasdf,,,asdfasdf,,,asdfasdf,,,asdfsdf,,,asdfsadf,,,asdfasdf,
2019-11-25 21:56:24,2019-11-25 22:22:37,IP Address,165.230.225.30,100,1573,True,2019-11-25 22:22:38,R_3egJVvTaDB51kRo,,,,,40.488006591796875,-74.45439910888671875,anonymous,EN,I DO agree to participate in this research study and will CONTINUE to the next page.,,,What lamp will provide enough light for reading?,How much does this book cost?,Does anyone know the name of the third US president?,Where are the most contaminated oysters found?,What do you commonly bring with you on a trip?,Can you guys name all four members of the Beatles?,Where is the closest museum?,Where do you live?,Why are fruits and vegetables good for you?,Where can I find the bank employees?,What was Obama's dog named? And What breed was it?,What are your favorite colors?,Do you know any goo Italian restaurants in New Jersey?,How often do you water your plants?,"Does anyone know a Cashew 'cheese' sauce that will taste good in Lasagna? ",Where do the tenants live in the building?,How much will this repair cost?,Which campus do you have space to hold an event?,How do I get to Central Park from here? or Whats the fastest way to get to Central Park?,How many T-shirts do you need?,What channel are the Winter Olympics being broadcasted?,Where did they take the protesters?,What is are the spice levels of different chili peppers? What typical peppers are used in chili?,What is the weather today?,Where are some good coffee shops in Minneapolis?,How often do you floss?,How much do we owe?,Whats the fastest way to evacuate people?,Do you remember where we parked the car?,What number comes after 73?,Do you know of any yoga studios in the area?,Who won the Bears-Packers football game?,Which car is is best for a family?,What stores are being targeted and where are they located?,What does your class have fun playing with?,Does this chocolate have nuts in them?,Who did you specifically invite?,Did you get the same results I did?,What are some things my niece likes?,Which offices were the envelopes sent to?,Which line do I get on if I have TSA pre-check?,When are your final exams?,Where is the nearest woodworking shop?,Where can I find plumbing supplies?,Do you have any souvenir Micky Mouse mugs here?,Where have you received the most calls in relation to rabid animals?,Which phone is the best to buy?,Do you have a favorite cake flavor?,Do you know any good bike shops around?,How to make olive tapenade?
2019-11-25 23:11:56,2019-11-25 23:30:59,IP Address,128.6.37.79,100,1142,True,2019-11-25 23:31:00,R_40i5gxlYezLltDj,,,,,40.488006591796875,-74.45439910888671875,anonymous,EN,I DO agree to participate in this research study and will CONTINUE to the next page.,,,Where can I find a lamp with good lighting?,How expensive is the book?,What are the names of the first three presidents of the US?,Where are the oysters concentrated the most?,What do you pack for a trip?,What are the names of all the Beatles?,Where is the nearest museum from here?,Where's your nearest major city?,Why do you guys eat fruits and vegetables?,Where were you during the time the files were stolen?,what type of dogs did Obama have?,What are her favorite colors?,What's your favorite Italian restaurant around here?,How often do you water your plants?,"Is this cashew ""cheese"" sauce good?",Do you know your assignments?,How much will this repair cost?,Where are some spaces on campus that I can host an event on?,Do you know how to get to Central Park?,How many people ordered t-shirts?,Which channel airs the Winter Olympics?,Have you found the location of the protesters?,What's a pepper used for mild spice?,What's the weather like today?,Do you know of any good coffee shops nearby?,How often do you floss?,How much is it per person?,How should we evacuate these people?,Do you remember where the car is?,What number is after 73?,where's a good yoga studio nearby?,What was the final score of the Bears-Packers football game?,What car is fit for a family of four?,what types of stores are these?,What types of toys do you guys like?,Would your parents know what this says on the box?,How are you liking the party so far?,What Hogwarts house were you sorted into?,What should I buy for my niece?,Which offices have been receiving these suspicious envelopes?,Where's the TSA pre-check line?,When are your final exams?,Where's a good woodworking shop around here?,Where can I find the plumbing supplies?,Where can I find the Mickey Mouse mugs?,Where have people been seeing these rabid animals lately?,Which phone is the cheapest?,What flavors are you guys looking for?,Where's the nearest bike shop?,How do you make olive tapenade?
2019-11-26 01:44:35,2019-11-26 02:01:51,IP Address,128.6.37.109,100,1036,True,2019-11-26 02:01:52,R_1KpS8omqvxbemiP,,,,,40.488006591796875,-74.45439910888671875,anonymous,EN,I DO agree to participate in this research study and will CONTINUE to the next page.,,,"How bright is this lamp? ","How expensive is this book? ","What is the name of the third US president? ","Where are the contaminated oysters? ","What type of items do people pack for a trip? ","Can you name all members of the Beatles? ","Where is the nearest museum? ","Where are you guys from? ","Why are fruits and vegetables healthy? ","Which employee will benefit from taking the documents? ","Siri, what type and name is Obama's dog? ","What is your favorite color? ","Where is the best Italian restaurant? ","Do you water your plants everyday? ","Is cashew ""cheese"" sauce tasty? ","Where are the tenants? ","How expensive is it to repair my car? ","Which location is the best for an event? ","Where is Central Park? ","How many t-shirts did you order? ","Which TV channels show the Winter Olympics? ","Where are the captured protesters being held? ","Which chili pepper is too spicy? ","Alexa, what's the weather like today? ","Where is the nearest coffee shop? ","Do you floss everyday? ","Does each person pay an equal amount? ","What is the quickest and safest way to evacuate people? ","Do you know where the car is parked? ","What comes after 73? ","Where are the nearest yoga studios? ","Siri, what was the final score on the Bears-Packers game? ","Will this car fit my whole family? ","Which stores are getting terrorist threats? ","What do the kids in your class like? ","Do these chocolates have nuts? ","What kind of party do you think the classmates will like? ","Did you put the same answer as me for this question? ","How old is my niece? ","Which officials in the offices got envelopes? ","Where is my designated line? ","How many final exams do you have, and when are they? ","Where are the woodworking shops? ","Where are the plumbing supplies? ","Where are the Mickey Mouse mugs? ","Where are the rabid animals? ","What kind of cellphone is right for me? ","What type and flavor of cake do you want? ","Where is the nearest bike shop? ","How do you make olive tapenade? "
2019-11-26 01:34:03,2019-11-26 02:16:47,IP Address,73.150.253.241,100,2563,True,2019-11-26 02:16:47,R_31XzqDbBBReiFb9,,,,,40.43060302734375,-74.40200042724609375,anonymous,EN,I DO agree to participate in this research study and will CONTINUE to the next page.,,,Do you have a lamp that will provide enough light for reading in the evening?,How much is this book?,Who was the first president of the United States?,Which restaurants sell oysters?,What do you normally pack for a trip?,"Can you name all four members of the famous band, the Beatles?",Where are the museums?,Where are you all from?,What kinds of fruits and vegetables do you know?,Where were you during the theft?,What is the name and the breed of Obama's dog?,What color do you prefer?,"Where is the best Italian restaurant? ",How often do you water your plants?,Does the cashew cheese taste good?,How many people are still in the building?,How severe is the damage and how much is this going to cost me?,Do we have any space that are available for my event?,Can you point me to Central Park?,What's your order?,What channel is the winter Olympics on?,Where are the captured protesters located?,What are the spice levels of different kinds of chili peppers?,What is the weather like today?,Where is the best coffee shop?,what is your dental hygiene routine?,How much does each person owe?,How should we evacuate these people safely and quickly?,Do you remember where I parked the car?,What number comes next?,Where are the best yoga studios?,What is the Packer's final score?,Which car will fit a family of four?,Where are the stores that were attacked?,What kind of treats does your class like?,Does this have nuts?,What kind of party should I have?,What house did you get sorted into?,How old is my niece?,Where should I send my teams?,Where is the designated line for my status?,When are your exams?,Where is the nearest woodworking shop?,Where can I find the plumbing supplies aisle?,Do you have mugs with Mickey Mouse on it?,Where was the animal last seen?,Can you help me figure out what I need?,What cakes do you like?,Where is the nearest bike shop?,How do you make olive tapenade?
2019-11-26 06:56:06,2019-11-26 07:15:44,IP Address,24.187.17.3,100,1177,True,2019-11-26 07:15:44,R_1n3gybdLyxts378,,,,,40.463592529296875,-74.2783966064453125,anonymous,EN,I DO agree to participate in this research study and will CONTINUE to the next page.,,,what is your brightest lamp?,how much is this book?,who was the third president?,where are the contaminated oysters?,what do you ususlly pack on a trip?,what were the names of the people in the beatles?,which museums are the best around here?,where would you guys want us to come?,what do you guys know about fruits and vegetables?,which employees were working when they were stolen?,what kind of dog did barack obama have?,what are your favorite colors?,where do you get italian food from?,how often do you water your plants?,is cashew cheese good for lasagna?,how many people live in here?,how much will the damages cost?,which spaces are available for the event i am planning?,which direction do i go in to get to central park?,are you sure the order is correct before you place it?,what channels are the winter olympics on?,where did the captured protesters go?,what kind of peppers should i use in my chili?,what is the weather like today?,what is your favorite coffee shop?,do you floss everyday?,how much do we owe angela?,what is the best way to get everyone out of here?,do you remember where i parked?,what comes after 73?,which yoga studio is the best around here?,what was the score of the bears-packers game?,what is the best family car?,which stores are targeted for the attacks?,what kind of snacks do your classmates like?,do these chocolates have nuts in them?,what do you guys want to do at my party?,what house did you get?,how old is my niece?,which offices did the letters come from?,which line is for the TSA pre-check?,when are your final exams?,where is the best woodworking shop around here?,where are the plumbing supplies?,do you have mugs with mickey mouse on them?,where have the rabid animals been seen,which phone is the best?,what kind of cakes do you guys like?,where is the closest bike shop?,how do i make olive tapenade?
2019-11-26 09:11:47,2019-11-26 10:00:43,IP Address,73.197.177.76,100,2935,True,2019-11-26 10:00:43,R_2PnxEiGh5AztCpC,,,,,40.485595703125,-74.62650299072265625,anonymous,EN,I DO agree to participate in this research study and will CONTINUE to the next page.,,,Which lamp is the most suitable for reading?,How much does this book cost?,Can you name the first three US presidents?,What restaurants were sold the contaminated oysters?,What are common items you always back in your luggage for a trip?,Can you name all four members of the Beatles?,"Could you tell me what museums are near this restaurant? ",Where is everyone from?,Can someone tell me why fruits and vegetables are good for you?,Which employees were working when the documents went missing?,What type of dog does President Obama have and what is its name?,What are your favorite colors?,What is the closest Italian restaurant?,How often do you water your plants?,Does cashew cheese taste similar to mozzarella?,Do we know how many tenants are home?,Do you have en estimate of how much the repairs might cost?,Are their spaces available on campus for me to host a club event?,Could you please give me directions to Central Park?,Who would like to place a T-shirt order?,Could you tell me which channels will be showing the Winter Olympics?,Where have the captured protesters been taken?,How spicy are the different kinds of chili peppers?,"Alexa, what's the weather forecast for today?",Are there any coffee shops near us?,How often do you floss?,How much do we each owe?,What exits can we evacuate people through?,Do you remember where we parked?,What comes after 73?,Can you tell me what yoga studios are in the area?,What was the final score for the Bears-Packers game tonight?,What cars are most suitable for a family of four?,What part of the area are the targeted stores in?,"What candy does everyone like? ",Can you translate the contents of the chocolates for me?,Do you think everyone is enjoying the party?,Which Hogwarts house did you answer for this question?,How old is she turning?,Which offices have received suspicious envelopes?,Could you please tell me which line is for TSA pre-check?,What are the dates of all of your final exams?,Are there any woodworking shops in the area?,What aisle are plumping supplies in?,Do you have any Mickey Mouse mugs?,"Have we received any calls about aggressive animal sightings? ",Can recommend the best cell phones available here?,What is your favorite type of cake?,Do you know of any bike shops in the area?,"Siri, can you show me recipes for olive tapenade?"
2019-11-26 10:06:17,2019-11-26 10:25:54,IP Address,24.45.167.128,100,1177,True,2019-11-26 10:25:55,R_31yJUv0x14pFQ9g,,,,,40.488006591796875,-74.45439910888671875,anonymous,EN,I DO agree to participate in this research study and will CONTINUE to the next page.,,,Where is your brightest lamp?,How much is this?,Who was the 3rd president?,where did they come from,What do you pack on a trip,Who can name all 4 members of the Beatles,Where are some museums,Where is everyone from,What fruits do we know,Has anyone spoken to an employee,What was Obama's dog,What colors would you prefer?,Where are some good Italian restaurants,"How often are you watering and how much ",Does the cashew-based substitute give enough flavor like mozzarella does?,Is everyone here,How much is the repair going to be,What locations and dates are available,"Nothing, they won't respond to you. ",Can I have the confirmation order for the tshirts,What channel would I be able to watch the Winter Olympics,Where are they,What kind of chili peppers are used in chili,What's the weather like for today,What coffee shops are good,How often do you floss after brushing,How much do we all owe,Can you help get people out,Where'd I park,What comes next,Where are some good yoga studios,"Hey Siri, what is the final school of the Bears-Packers game","What is a good fit for a family of 4 ",Do you have more information,What do you want me to bring,Can you tell me if there is nuts in these chocolates?,What kind of food/drink would you like,Which house did you get,How old is she,What locations have been hit so far,Where is TSA pre-check,What is your final exam schedule,Where are the best woodworking shops,Where can I find the plumbing supplies?,Where can I find a Mickey Mug,Find them,"What kind of phone would you recommend ",What kinds of cake and style do you like,Where are the best bike shops,How to make an olive tapenade
